Content,Sentiment
independent film one best film tall grass film festival ever seen loved many thing great film top cast crew opportunity meet absolutely phenomenal thought avi great job role ricky ullman absolutely true role disney actor amazed talent able go cheesy teen comedy adult role problem talent film amazing cinematography great want see independent film one really see think mr gruver would proud submission festival parent loved movie much audience favorite went saw truly great film dark funny sad truly emotional fabulous honestly enthused film really want spoil one see truly amazed think film maker really take go place hope see work future,pos
platoon vietnam war rocky iv heavyweight championship boxing oliver stone story experience u army platoon vietnam 1968 overdone laughable occurrence platoon occur 10 year span u military involvement vietnam portray thing happening one small group men short time frame week give horribly skewed picture war platoon men platoon see following course week two u soldier murdering civilian u soldier raping civilian u sergeant murdering another u sergeant u private murdering u staff sergeant u soldier killed wounded friendly fire 90 killed wounded platoon stone try pas film typical experience u soldier vietnam disgrace two vietnam war film would recommend soldier true story arguably worst battle u soldier vietnam hbo bright shining lie,neg
average film acting partly spoiled completely predictable story line even music chosen word fit action every time scent pleasantville camp hang around flick period piece accurate depiction tragedy company town lack upward mobility sketchy moving chris cooper turn first class performance howard coal miner daddy,pos
compromised fairly charming film liked art direction felt far real kid movie costume cutesy child actor bad watch adult performance trended toward cheesy great showed bullied kid bully others well kid standing bullying know many grown ups would want see great film take kid since barnyard apparently attended 100 kid time really glad picked sparsely attended showing worm instead,pos
hayao miyazaki equal come using hand drawn animation form storytelling yet often compared walt disney unfair becomes apparent watching miyazaki film superior artist really gift thrilling grownup child laputa indeed one awesome ride begin describe movie magical breathtaking miyazaki work never cease amaze laputa adventure grand scale wonder film packed detail imagination ask question kid dreaming adventure grand scope magical would like answer would strap seat watch laputa truly childhood fantasy come true every minute movie rich engrossing train chase amazing air flying sequence wonderous sight floating castle mention excellent score joe hisaishi everything ever possibly want adventure movie,pos
stephen feinberg played proctologist one writer movie passed away early 2006 met steve portland 1993 year latter told writer hollywood year earlier working mostly tv promos asked see tunnel vision late seen already actually seen year released time think bad movie however seeing adult opinion somewhat different yes bit puerile well dated steve admitted good movie said little proud proctologist sketch,neg
finished watching film found enjoyable quiet little film overwhelm special effect big performance simply take life people living small hamlet backwoods north carolina henry thomas give good performance raymond toker young loner find baby abandoned wood toker search baby parent take journey profound impact life david srathairn play truman lester slimy conman ulterior motive david play bad guy perfection much film first meet eye filmed location north carolina wonderful sound track traditional music worth watching,pos
least something good came damon runyon misguided attempt sentimentalize mafia guy doll seemingly indestructible stage musical captured film 1955 joseph l mankiewicz eve colorful enjoyable movie featured star cast including vivian blaine original broadway show jean simmons whose character bear odd resemblance audrey hepburn roman holiday two time great leading men frank sinatra marlon brando recently oscar best supporting actor eternity best actor waterfront top game one listen brando singing luck lady tonight speaks volume early dylan got voice stubby kaye steal show nicely nicely johnson brings house sit rocking boat ubiquitous sheldon leonard add yet another page rogue gallery screen gangster film bright cartoonish look anticipating pop art early 1960s character speak stylized patois apparently based yiddish idiom although film social attitude gender role dated great fun even gentle kidding salvation army harmless reflects real animosity toward organized religion seeing sinatra brando film reason enough watch movie lot attraction offer 149 minute,pos
upon concluding viewing trance eternal whatever producer calling film wondered bad movie could seen least seen one entertaining even film well made term acting directing writing least fun therefore worthwhile film bad artistic value incredibly boring plot thinness move awfully slowly little dramatic tension least low brow attempt entertainment death character could cool gory creator dreck failed department well movie going pretty much nothing unless get entertainment watching christopher walken capable brilliant put little effort acting fall self parody mode decide film anyway give film god help u actually worse movie made,neg
think movie want u say end movie damn australian still know know really liked movie favorite movie great story great actor terrible end make cry say oh good still made really happened guy answer question mysterious movie good mark overall give going 8 5,pos
mean movie bad perfect stranger funny stick one type comedy jumped snl adam sandler esquire romantic little guy score big slapstick loser movie type comedy although pretty funny slapstick moment fall hill one particularly funny outstanding way schindler list funnier felt shorter never knew andy samberg supposed high school college dropout loser living home mother sissy spacek worst choice role poor ian mcshane serious actor name one given crap read camera story drag completely predictable including end spoiler case adam samberg mom want see spend money going see movie maybe lorne michael get hint start producing quality yes wayne world tommy boy quality movie,neg
first really loved henry fool put small pool movie goer parker posey one best actress screen today film full travesty watching hartley actor talk film extra full pride making pointless analogy star war stomach turning hype producer part hdnet realized max true example emperor new clothes mostly feel hal spoiled henry fool forever think ever see pure innocent light remember hal fool people time etc director would nowhere today churn meaningless garbage sadly pure example lesson taught film adaptation story must exciting active box office hope dim indeed never mind decent story actor like trying act straitjacket score believe hartley tasteless drum hit walking dialog one apple soundtrack loop recognized gave smile saw trailer thought oh trying grab new audience really ridiculous ride happy spoil movie done rotten fool franchise dead long live henry fool,neg
short movie little bit weak 1st act forced acting somewhat disjointed rhythm pacing somewhat decent 2nd act managed build tension intrigue despite inconsistent pacing inferior performance cast 3rd act virtually 3rd act regarding 3rd act movie abruptly end resolution path climax 2nd act much 3rd act bad guy die end credit roll nothing show happens protagonist supporting character audience would likely left theater movie asking real letdown music composed david bell worked adequately enough serve film time certainly nothing outstanding functional achieves merely generic derivative also apparent score dated use synthesized timpani percussion least impressed score moment tension herald music cue sounding like ripped james horner 48 hr commando particularly brass film potential basic story good execution lackluster mediocre direction weak acting somewhat inconsistent pacing virtually 3rd act properly finish story omission major unforgivable allow movie end satisfactorily could either screenplay possibly production cut filming editing 3rd act finished movie due budget constraint speculating 3rd act whatever reason abrupt ending really hurt movie overall good view curious get movie cheap well learn reason need 3 act beginning middle end write screenplay make movie otherwise might want waste time unless get mst3k version least get laugh,neg
enjoy seeing must started 2 hour movie unconnected burst unwatchability love film otherwise wonder could made film something simple translate big screen inspector gadget preview film many scene shown film within film scene make sense movie slightly le 1 hour half think one truly memorable moment credit,neg
suffice say substandard b nothing save interesting plot even one tolerably decent actor josh leonard blair witch fame little help matter favor leave one shelf local video store,neg
bad day bad week looking film make laugh forget trouble think role model movie film center around danny paul rudd wheeler seann william scott two juice promoter go school promoting product telling kid stay drug juice danny worst week ever crash company car wheeler seat next soon ex girlfriend beth elizabeth bank lawyer manages avoid getting jail time hour community service volunteering big brother place called sturdy wing led gayle jane lynch wheeler assigned ronnie bobb e j thompson 10 year old foul mouth like chris rock danny assigned augie mclovins christopher mintz plasse like dress like knight fight like medieval time good danny wheeler better jail okay gon na beat around bush movie unpleasant many way namely ronnie character hearing bad word coming kid young shocking little bit older would mater much mean parent thinking sign elizabeth bank character unwatchable maybe supposed feel bad character felt nothing annoyingly predictably portrayed female would played type comedy jane lynch worst worst delivers overacting performance ever playing former drug addict act like still drug listening give annoying dialog made want throw head wall seann william scott playing another stifler like character really try separate film scott try hard funny keep funny paul rudd hand gon na separate others film cause manages deliver solid performance although get higher laugh interesting character rest cause rudd overact try hard scene mintz plasse watchable rest film stupid pick time becomes predictable uninteresting reminder type comedy try nothing new take chance role model example,neg
troubled men magazine photographer adrien wilde well played considerable intensity michael callan horrific nightmare brutally murder model lovely lady start turning dead real adrien worry might killer writer director william byron hillman relates engrossing story steady pace build reasonable amount tension delivers gruesomely effective moment savage misogynistic violence one woman plastic garbage bag rattlesnake placed head rate definite squirm inducing highlight put refreshing emphasis nicely drawn engaging true life character ground everything plausible everyday world top thing nice smattering tasty female nudity fine acting excellent cast help matter whole lot joanna pettet sunny charming love interest mindy jordache james stacy adrien macho double amputee brother b j seymour cassel adrien concerned psychiatrist dr frank curtis potter adrien feisty gay assistant louis pamela hensley gutsy homicide detective sergeant fountain cleavon little hard nosed police chief misty rowe sweet bubbly model bambi r michael stringer polished cinematography make impressive occasional use breathtaking panoramic aerial shot jack goga ominous rattling score likewise trick popping cool bit part robert tessier gruff bartender sally kirkland saucy hooker kathy shower fierce female wrestler b j grapple ring france bay one standard old woman role solid enjoyable picture,pos
would legitimate actor read script participated piece crap god actually embarrassing even watch imagine shame people must feel part also apparently controversy whether river phoenix cameo movie uncredited list role imdb give credit btw rain sister asking film proof matter many big name sow ear make silk purse love lorraine bracco sad sad sad maybe somebody someday explain reason kind film endearing entertaining even comedic property comparison bad everything else,neg
word describe bad movie explain writing see get grip horrible movie really recommend many clich mistake negative thing imagine make cry start technical first lot mistake regarding airplane list mention coloring plane even manage show airliner color fictional airline instead used 747 painted original boeing livery bad plot stupid done many time much much better many ridiculous moment lost count really early also bad guy side time movie good guy stupid executive decision without doubt choice one even turbulence movie better fact every movie world better one,neg
loved good time rest many love reading intelligent insightful commentary writer show fantastic actor beyond talented answer strawberry22 neatest commentary superior positive commentary happened james killed accident believe remember trucking accident car accident saddest episode first aired tiny thing sad florida child actually get project even become neighbor willona wilnona last show ended child achieved dream found opportunity dream wonderful ending cried happy show seemed realistic actually believed fate hope kind ending ring true actually many great show many great show followed including benson jefferson awesome period african american television best writer awesome time tv land awesome memory love stand junk watching today somebody bring back 1970s 1980s quickly intelligent viewer dying breed need better material love tv land original sitcom junkie 70 80 sing family day,pos
shadrach favorite type movie found overly sentimental acting par harvey keitel andie macdowell good actor believable also believe paul parent would go away leave dabney family especially housekeeper living home social class far apart consider believable seemed dabney lifestyle exaggerated scene beginning movie showed andie macdowell getting car sex someone son scene supposed show u scene even included nothing rest movie fact never alluded seemed gratuitous fitting story many inconsistency movie story concerning shadrach nice convinced dabneys would kind generous portrayed,neg
get wrong dan jansen great speed skater one guy deserved gold medal olympics dan possible bill corcoran made bad movie incredible dan jansen story real dan jansen story truly incredible especially look movie eye sportsman everything wrong way matt keeslar actor skate technique dimension speedskating oval wrong shame bill corcoran dan jansen deserves better lot better 1 10,neg
rented film heard fuss put academy award watching easy see despite beautiful photography film incredibly slow moving despite hardly plot plot young boy trying come term parent death may may accident film never clear grandfather used tell fairy story fairy story contain bit interest plot short really seem point first fairy story particular concern boy trying get magical flower dying girlfriend save life boy delay tasting flower first make sure poisonous result second late save girlfriend grandfather pronounces moral boy impatient make sense overcaution slowness resulted failure perfect metaphor film really photography skye beautiful though stardust released year another film fairy story filmed skye beautifully photographed infinitely better one,neg
attention spoiler first let say rob roy one best film 90 amazing achievement involved especially acting liam neeson jessica lange john hurt brian cox tim roth michael canton jones painted wonderful portrait honor dishonor men represent ala constantly unfairly get compared braveheart two entirely different film probably similar fact scot historical scotland yet comparison frequently bother seems almost assumed braveheart better film rob roy like braveheart lot idea comparing rob roy little insulting put quite simply love braveheart pale shadow much love rob roy particular reason rob roy real people let face william wallace braveheart real person legend martyr larger life figurehead depiction also perfect person never wrong basically showing scot countryman promised land finally fail fault like jesus betrayed people trusted even go worst kind torture want freedom much depiction wallace well done effective really inspire intrigue find human ambiguity far facinating human perfection last temptation christ better film king king also one reason think rob roy better braveheart rob roy may heroic brave far perfect make several mistake affected life many loved one sure bearing false claim duke argyll act nobility courage also act egoism self centeredness let u forget kinfolk claimed protect driven homeless end film act rob best could could ask rob wife mary also normal ambigious person let u start though look film sure beautiful wear makeup basically allows natural beauty show compare two love one depending point view william wallace braveheart two lady hot hardly indicitive woman looked time especially lay person maybe fair comparison another example rob roy attempt accuracy far effective throughout rob roy mary live vicious rape dastardly carrion cunningham feel compelled tell rob struggle know rob must seek revenge rape revenge would surely mean death rob mary prepared sacrifice villain rob roy equally compelling although enemy braveheart well written hardly original robert bruce man brave cowardly plagued moral decision familar fictional realm take claim king scotland betray wallace order ensure safety family name bruce ambigious character braveheart brutus julius ceasar fredo godfather part ii type character hardly original longshanks although compelling villain right one dimensional epidemy evil tyrant way stand direct contrast wallace heroism rob roy three villain wonderful chicanery first let start marquis montrose man obsessed self image willing let innocent man suffer see mocked favorite word factor man obsessed power upset man great noble bearing duke argyll considered greater providency shamefully self obsessed insecure evil aristocrat way make unique cunningham callarn conspirator rob roy also roy direct assailant callarn cunning cowardace almost comical anything maintain good marquis includes backstabbing trickery cunningham compelling character seems raised whatever obtain status affection marquis need father little know marquis real father therefore opportunity obtain wealth come callarn grab without even questioning much like evil modern man self centered vain care consequence action others many criticized tim roth performance film overacting hogwash say clear cunningham simply evil also psychopath throughout film world man stepson go around shooting random people amusement cunningham much unbelievable character live society people seem decreased value human life rob roy simply teach u circumstance decreased value changed problem throughout human history vanity human heart allow capacity compassion rob roy mary give u hope goodness prevail snake always exist world another character find fascinating duke argyll true nobleman value honesty courtesy direct contrast marquis appreciates bravery rob roy mary direct vexation marquis factor give world hope people power hopefully people like marquis exception rule final duel rob roy exciting 10 battle scene braveheart one thing get tired people telling braveheart better film battle scene first battle scene hardly original spartacus gladiator hollywood long tradition historical european battle scene braveheart best battle scene ever put film suffer one important problem battle scene context except fight freedom get wrong duel hardly original either fact probably 10 time many film duel battle scene context duel cunningham rob roy beauty behold one greatest scene film history let explain first fighting style bearing two character duel describe character perfectly cunningham effette dangerous rob roy strong courageous cunningham us fencing sword rob us broadsword cunningham fight quick tricky movement roy fighting style obvious whole film deliberately slow first half exciting second half leading moment powerful stuff clear rob must exterminate menacing evil plagued whole world rob finally get upper hand literally figuratively one greatest moment film history rob win live honor powerful 10 cunningham use music absolutely chilling scene good prevailing real evil powerful seeing dude get disemboweled yell freedom hey maybe rob roy realistic braveheart know people aristocracy scotsman talked like people rob roy feel clearly attempt capture speech pattern feel many people bored rob roy simply understand character saying case read shakesphere put close captioning rob roy actually one greatest written film 90 many dialogue film clever maybe watch film couple time understand contrast dialogue braveheart hardly interesting course expect main character scotsman played australian legend clearly attempt capture speech time film take place several century rob roy yet talk like people today thus reason many people like better audience today become increasingly lazy want take time patience understand thing complex therefore many epic film expect see villians speak recognizable english accent hero speak vernacular far away american language sure clear wallace scotish sounding like scotty star trek couple aye acknowledgement scot film fit hollywood tradition believe scot sound description prove rob roy better film braveheart hardly prof one thing show hardly common knowledge braveheart better film rob roy put simply rob roy film theme apropos today world braveheart film legend inspiring hardly realistic make decision think better grade score 9,pos
movie atlantis lost empire shining gem rubble film produced disney studio recently parent sit jungle book 2 even pokemon movie surely appreciate one film one attempt original story previous feature film merely telling existing story film toy story finding nemo monster inc must noted made pixar distributed disney recent film disney studio mostly released direct video sequel existing successful film quality film given way profitability new era started atlantis following mulan lilo stitch recently open range writer created original story line instead fairy tale past good portion movie devoted quest find atlantis task captured imagination many hundred year including young milo thatch voiced michael j fox milo employed museum washington c grandfather renowned archaeologist devoted life discovering atlantis seen waste peer wish milo follow footstep failing convince museum board director sponsor expedition milo come home find woman darkened apartment take employer mr whitmore whitmore close friend milo grandfather wish send milo team locate atlantis mr whitmore wealth paid best everything crew accompany grandfather journey filled many great obstacle overcome great fun watch viewer find caught reach atlantis plot take unexpected turn discovery atlantis discovery people enough keep interest older audience animator done wonderful job depth animation movie successful blending traditional animation computer generated image feat easily achieved audience quick notice difference two character believably human nice chase type scene lot action going lull filled joke child may get creativity writer really shine culture atlantis richly developed including entire language film us reference atlantis historical source plato disappearance atlantis world explained believable younger audience magic really exist power people atlantis exactly presented magic best described way although set 1914 level technology used unrealistic voyage submarine reminiscent captain nemo nautilus complete sub pod fire torpedo giant digger driven steam boiler try era technology female character empowered way woman age would even holding role leadership bad thing give good role model daughter look rather male cast one reason film favorite mine disney film one single song ever tradition began first feature film snow white carried lion king almost every disney film full upbeat song great would seven dwarf without hi ho millionth time almost better without one spare parent every single person screen suddenly know word song one ever heard break song one grateful storyline depth animation sure keep attention parent child alike film willing watch child,pos
absolutely fantastic legion cinema purist choke latt allow elaborate much enjoyed quite simply one worst film ever seen certainly worst film seen cinema impressive claim remember seeing daredevil big screen two lead daniel gillie elisha cuthbert unconvincing best downright awful worst course helped script much emotional depth daphne celeste single characterisation convincing oj defence plot stretch term slightly thin non existent gore scene whilst undoubtedly brutal irrelevant laughably formulaic plot revolves around twenty something model cuthbert abducted imprisoned subjected various visceral torture psychological physical torture scene feel like disconnected set piece emphasis laid squarely upon shocking rather scaring audience whilst really positive draw film redeeming feature flaw make dreadful film never heard vocal audience cinema within twenty minute entire cinema stitch remained way throughout part came flushed laughter buoyed film ascended pinnacle appalling film making whichever way look truly cinematic achievement blueprint future directorial wannabe detailing minutely make film p omitted mention managed get film free afford laugh still tempted ask money back really bad,neg
peckinpah straw dog kubrick clockwork orange director john boorman delivers effective film man violent side deliverance arguably definitive horror film 1970s burt reynolds jon voight ned beatty ronny cox portray four atlanta businessmen decide take canoe trip wild cahulawassee river northern georgia dammed reynolds call one big dead lake local mountain folk take painfully obvious dim view city boy carousing wood following day continuing river beatty voight accosted sexually assaulted film infamous squeal sequence two vicious mountain men bill mckinney herbert cowboy coward thus started nothing lark appalachian turned nightmare four protagonist come see thin line exists think civilization think barbarism james dickey adapted screenplay best selling book result often gripping disturbing shocker often known squeal dueling banjo sequence deliverance also quite pulse pounding ordeal four leading men superb role mckinney coward making two frightening villain time must see film willing take chance,pos
hong kong director crossing hollywood make movie nothing new temporary exodus like tsui hark john woo ringo lam 90 collective output movie may say one made impact box office andrew lau alan mak partnership tour de force recent hk cinematic history especially famous infernal affair trilogy remade martin scorsese departed surprise hollywood come knocking door without fellow collaborator mak usually script story duty lau fare writer han bauer craig mitchell like x file without x way story crafted character parallel drawn chris carter series richard gere claire dane pair ala david duchovny gillian anderson belong federal investigative agency bear arm employee protective service chief role ensure sexual predator belong jurisdiction kept safe society released served time hence shepherd tending flock flock suffer sick sexual perversion propensity violence parallel characterization blatantly obvious cosmetic touch outside like fox mulder gere erroll babbage strange lonely man consumed obsession quest doggedly harass flock tote line pained failed attempt rescue missing child like mulder pine missing sister babbage shunned colleague given marching order disguised retirement plan deep disgust people monitoring sick crime stand qualm using unorthodox method short flying handle dishing illegal preemptive punishment time strong urge fight order cross line becoming like loathes part routine also scan newspaper tabloid clue lead toward objective seeking closure salvation possessing strong belief truth still want believe dane allison lowry hand ing nue brought replace babbage meantime learning rope job next 18 day required spy report shenanigan pretty much like dana scully tasked fox mulder disbeliever pre emptiveness holding onto notion discharged back society cured temptation slowly start see babbage see understands take whole lot desk administrative job truly want help people discovery world fetish deviant sexual practice open eye much like 8mm starring nicolas cage brought snuff film spotlight decent investigative drama usual red herring really good one made wonder quite often guess correct soon find firing hip get proved incorrect alarming frequency though credit tight narrative sprawling number character watch avril lavigne cameo sub plot scene darkened ware shophouse akin se7en david mill william somerset raided john doe apartment find plenty bizarreness inside though given subject nature lingered upon much apparently flock somehow decided enrique chediak cinematography good enough despite strange style style utilizing almost every trick book try recreate feeling watching another se7en deeply steeped tinge brown rather doom gloom black take little get used put effect one actually distracts happening story really good move though somewhat frequent repetition scene involving flashback flock still make decent entertainment though x philes would probably find hard picture favourite actor lead role given much similarity character gere dane put forth chemistry old fogey heh prot g exactly great andrew lau manage pull something enjoyable,pos
first read lorna doone 20 year ago absolutely loved classic historical romance set 1600s west country several day journey london law order much harder enforce sadly version book take several liberty story incredibly disappointing opinion acting production value ok way story messed dreadful television adaptation would think thousand fan book would want change story one life great mystery bbc made excellent version televised christmas early 1990s still trying track copy take advice read book bother paltry version,neg
read well story solid volckman feel failed way disagree first well executed volckman well try new technique focus worth thinking would immortality reduce value life big question see trying hard build feeling compromising applauded sure interesting exercise build character form seen artist reduce form bare minimum build intensity moment identify film much interesting richard linklater roto scoping volckman story meaning linklater later story wasted life drug old news everyone know one anything renaissance offer something new think many story load hole far better well done volckman really nice work,pos
